trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,gwas_pct_european,gwas_pct_target,gwas_pct_multi_incl_eur,dev_pct_european,dev_pct_target,dev_pct_multi_incl_eur,dev_reported,target_in_gwas,target_in_dev,multi_incl_eur_in_gwas_or_dev,target_possibly_represented,bucket_consistent,pgs_name,dev_method,n_variants,anc_gwas_txt,anc_dev_txt
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004698,-0.07400000000000007,0.017324774550626042,70.7,2.8,0,64.2,11.4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,multi_anc_hg37PT,Pruning and Thresholding (P+T),542218,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004698,0.0129999999999999,0.012755101100989413,70.7,0,0,64.2,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,multi_anc_hg37PT,Pruning and Thresholding (P+T),542218,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
Type 2 diabetes,Train: Multi incl. EUR,African,PGS004859,-0.01903665632198348,0.005636000649182799,81.9,3.5,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,T2D_PRS_CS,PRS-CS,1108235,European:81.9|Multi-ancestry (excluding European):13.4|African:3.5|Hispanic or Latin American:1.3,NA
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS004859,0.06999999999999995,0.030339897086615747,81.9,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PRS_CS,PRS-CS,1108235,European:81.9|Multi-ancestry (excluding European):13.4|African:3.5|Hispanic or Latin American:1.3,NA
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS004859,0.06999999999999995,0.011450246485108595,81.9,1.3,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,T2D_PRS_CS,PRS-CS,1108235,European:81.9|Multi-ancestry (excluding European):13.4|African:3.5|Hispanic or Latin American:1.3,NA
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS004859,0.1100000000000001,0.040580413499536054,81.9,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PRS_CS,PRS-CS,1108235,European:81.9|Multi-ancestry (excluding European):13.4|African:3.5|Hispanic or Latin American:1.3,NA
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS005242,-0.008000000000000007,0.004905717679551949,77,1.4,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,T2D_PRS_PRS_CSx_META_T,PRS-CSx,1257036,European:77|Multi-ancestry (excluding European):14.9|African:3.9|South Asian:2.8|Hispanic or Latin American:1.4,NA
Breast Carcinoma,Train: European-only,African,PGS005345,-0.0199911315487884,0.03738606831998405,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,SCT,SCT (Stacked Clumping and Thresholding),435538,European:100,European:100
Breast Carcinoma,Train: European-only,South Asian,PGS005345,0.004085574400860215,0.02757802412885525,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,SCT,SCT (Stacked Clumping and Thresholding),435538,European:100,European:100
Breast Carcinoma,Train: European-only,African,PGS005346,-0.07442090066742368,0.03936606849612694,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,LDpred2,LDpred2,961355,European:100,European:100
Breast Carcinoma,Train: European-only,South Asian,PGS005346,-0.008950364883240525,0.030300609799748184,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,LDpred2,LDpred2,961355,European:100,European:100
Breast Carcinoma,Train: European-only,African,PGS005347,-0.06563962049225391,0.04004694825692812,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS-CS,PRS-CS,941932,European:100,European:100
Breast Carcinoma,Train: European-only,South Asian,PGS005347,0.005214462332007619,0.0305443708758145,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS-CS,PRS-CS,941932,European:100,European:100
Breast Carcinoma,Train: European-only,African,PGS005348,-0.054779971180556664,0.03718539291513926,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SBayesR,SBayesR,789305,European:100,NA
Breast Carcinoma,Train: European-only,South Asian,PGS005348,-0.01602888154320037,0.03058211875357517,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SBayesR,SBayesR,789305,European:100,NA
