PGS Performance Metric (PPM) ID,Evaluated Score,PGS Sample Set (PSS),PGS Publication (PGP) ID,Reported Trait,Covariates Included in the Model,PGS Performance: Other Relevant Information,Publication (PMID),Publication (doi),Hazard Ratio (HR),Odds Ratio (OR),Beta,Area Under the Receiver-Operating Characteristic Curve (AUROC),Concordance Statistic (C-index),Other Metric(s)
PPM018573,PGS003766,PSS011031,PGP000488,Prostate Cancer,"Age, sub-studies, 10 PCs",,37945903,10.1038/s41588-023-01534-4,,1.78,,,,"Odds ratio (OR, top 10% vs 40-60%) = 3.54"
PPM018574,PGS003767,PSS011039,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.152576747856378
PPM018575,PGS003768,PSS011039,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.131696611550745
PPM018576,PGS003769,PSS011037,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0618959921973122
PPM018577,PGS003770,PSS011037,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0313554223363344
PPM018578,PGS003771,PSS011037,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0414071444175855
PPM018579,PGS003772,PSS011037,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0816676935790506
PPM018580,PGS003773,PSS011037,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0922261554422178
PPM018581,PGS003774,PSS011038,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.107253632835543
PPM018582,PGS003775,PSS011038,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0652128710735953
PPM018583,PGS003776,PSS011038,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.083204359479734
PPM018584,PGS003777,PSS011038,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.147232795394046
PPM018585,PGS003778,PSS011038,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.135506008658057
PPM018586,PGS003779,PSS011040,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0822103983491346
PPM018587,PGS003780,PSS011040,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0422503580805381
PPM018588,PGS003781,PSS011040,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0879303814403603
PPM018589,PGS003782,PSS011040,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.146367521587022
PPM018590,PGS003783,PSS011040,PGP000489,High-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.148857676938609
PPM018591,PGS003784,PSS011045,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0754134147450335
PPM018592,PGS003785,PSS011045,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0547261222656619
PPM018593,PGS003786,PSS011043,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0892382344673643
PPM018594,PGS003787,PSS011043,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0334936547661853
PPM018595,PGS003788,PSS011043,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0438432744084916
PPM018596,PGS003789,PSS011043,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0867905366983846
PPM018597,PGS003790,PSS011043,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.115842557836032
PPM018598,PGS003791,PSS011044,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0227395147531421
PPM018599,PGS003792,PSS011044,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0183972490117209
PPM018600,PGS003793,PSS011044,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0310504102090496
PPM018601,PGS003794,PSS011044,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0534045333054364
PPM018602,PGS003795,PSS011044,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0238993015218466
PPM018603,PGS003796,PSS011046,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0258575441957538
PPM018604,PGS003797,PSS011046,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0134120657648683
PPM018605,PGS003798,PSS011046,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0278231840431152
PPM018606,PGS003799,PSS011046,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.048720932408595
PPM018607,PGS003800,PSS011046,PGP000489,Low-density lipoprotein cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0332293833065923
PPM018608,PGS003801,PSS011053,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0920700647309714
PPM018609,PGS003802,PSS011053,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.105272266315599
PPM018610,PGS003803,PSS011051,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0295267344445088
PPM018611,PGS003804,PSS011051,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0209124944614692
PPM018612,PGS003805,PSS011051,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0230905060176239
PPM018613,PGS003806,PSS011051,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0218804696783418
PPM018614,PGS003807,PSS011051,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0417591290755371
PPM018615,PGS003808,PSS011052,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0682053357468721
PPM018616,PGS003809,PSS011052,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0650655845181981
PPM018617,PGS003810,PSS011052,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0945252961854408
PPM018618,PGS003811,PSS011052,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.103658970322604
PPM018619,PGS003812,PSS011052,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0911866487242631
PPM018620,PGS003813,PSS011054,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0648247955737177
PPM018621,PGS003814,PSS011054,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0795143092040522
PPM018622,PGS003815,PSS011054,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.103828627819889
PPM018623,PGS003816,PSS011054,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.121197369439675
PPM018624,PGS003817,PSS011054,PGP000489,Log triglycerides,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.10367587433343
PPM018625,PGS003818,PSS011049,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.072542898577575
PPM018626,PGS003819,PSS011049,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0625993525167423
PPM018627,PGS003820,PSS011047,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0748153327874564
PPM018628,PGS003821,PSS011047,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0591401603103186
PPM018629,PGS003822,PSS011047,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0712222699037054
PPM018630,PGS003823,PSS011047,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0858422540923765
PPM018631,PGS003824,PSS011047,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.102075286831322
PPM018632,PGS003825,PSS011048,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0633153697146353
PPM018633,PGS003826,PSS011048,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0701732904451726
PPM018634,PGS003827,PSS011048,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0886712079672141
PPM018635,PGS003828,PSS011048,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0569648872411507
PPM018636,PGS003829,PSS011048,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0740866789482514
PPM018637,PGS003830,PSS011050,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0180429198654913
PPM018638,PGS003831,PSS011050,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0234908955514603
PPM018639,PGS003832,PSS011050,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0394874613280555
PPM018640,PGS003833,PSS011050,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0477670264821848
PPM018641,PGS003834,PSS011050,PGP000489,Total cholesterol,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0400844815118619
PPM018642,PGS003835,PSS011042,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0903944336794653
PPM018643,PGS003836,PSS011042,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.160058184999495
PPM018644,PGS003837,PSS011041,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.00285169652309009
PPM018645,PGS003838,PSS011041,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.00695275947005856
PPM018646,PGS003839,PSS011041,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0331890121963116
PPM018647,PGS003840,PSS011041,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0413926127333161
PPM018648,PGS003841,PSS011041,PGP000489,Height,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0377515205419415
PPM018649,PGS003842,PSS011036,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0191964153883441
PPM018650,PGS003843,PSS011036,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0409868537146148
PPM018651,PGS003844,PSS011055,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.00110687104505703
PPM018652,PGS003845,PSS011055,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.000507465055339834
PPM018653,PGS003846,PSS011055,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.00710833249100333
PPM018654,PGS003847,PSS011055,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.00848539026393194
PPM018655,PGS003848,PSS011055,PGP000489,Body mass index,,,37749244,10.1038/s41588-023-01501-z,,,,,,R² = 0.0102700395791428
PPM018656,PGS003849,PSS011056,PGP000490,Alcohol Use Disorder,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.57,0.451 (0.052),,,
PPM018657,PGS003849,PSS011056,PGP000490,Tobacco Use Disorder,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.643,0.497 (0.054),,,
PPM018658,PGS003849,PSS011056,PGP000490,Opioid Use Disorder,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.728,0.5471 (0.062),,,
PPM018659,PGS003849,PSS011056,PGP000490,Cannabis Use Disorder,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.413,0.3455 (0.057),,,
PPM018660,PGS003849,PSS011056,PGP000490,Cocaine Use Disorder,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.569,0.451 (0.058),,,
PPM018661,PGS003849,PSS011056,PGP000490,Any Addiction,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.633,0.49 (0.052),,,
PPM018662,PGS003849,PSS011056,PGP000490,Polysubstance use (2 or more) vs. no polysubstance use,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.721,0.5427 (0.055),,,
PPM018663,PGS003849,PSS011056,PGP000490,Polysubstance use (2 or more) vs. Single substance use,"First 10 principal components, age, and sex",,37250466,10.1038/s44220-023-00034-y,,1.445,0.368 (0.082),,,
PPM018664,PGS002265,PSS011059,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.629 [0.613,0.645]",,"Hazard Ratio (HR, top 30% of PGS vs. remainder) = 1.92 [1.75,2.23]"
PPM018665,PGS002265,PSS011058,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.591 [0.536,0.625]",,
PPM018666,PGS002265,PSS011060,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.592 [0.531,0.652]",,
PPM018667,PGS002265,PSS011057,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.581 [0.5,0.645]",,
PPM018668,PGS002265,PSS011061,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,0.591,,
PPM018669,PGS003851,PSS011059,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.654 [0.639,0.669]",,
PPM018670,PGS003851,PSS011058,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.601 [0.538,0.664]",,
PPM018671,PGS003851,PSS011057,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.543 [0.5,0.6241]",,
PPM018672,PGS003851,PSS011060,PGP000294,Colorectal cancer,"age, sex",,32758450,10.1016/j.ajhg.2020.07.006,,,,"0.602 [0.542,0.662]",,
PPM018673,PGS003852,PSS011062,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,"1.64 [1.55,1.74]",,"0.63 [0.62,0.64]",,
PPM018674,PGS003852,PSS011063,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,"1.39 [1.31,1.47]",,"0.59 [0.57,0.61]",,
PPM018675,PGS003852,PSS011064,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,"1.62 [1.51,1.73]",,"0.62 [0.6,0.63]",,
PPM018676,PGS003852,PSS011065,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,"1.67 [1.6,1.75]",,"0.65 [0.64,0.66]",,
PPM018677,PGS003850,PSS011062,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,1.3,,"0.6 [0.59,0.62]",,
PPM018678,PGS003850,PSS011063,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,1.25,,"0.58 [0.56,0.59]",,
PPM018679,PGS003850,PSS011064,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,1.37,,"0.59 [0.57,0.6]",,
PPM018680,PGS003850,PSS011065,PGP000492,Colorectal cancer,"Age, sex, PCs 1-4",,37783704,10.1038/s41467-023-41819-0,,1.62,,"0.61 [0.6,0.62]",,
PPM018681,PGS003851,PSS011062,PGP000492,Colorectal cancer,"Age, sex, PCs 1-10",,37783704,10.1038/s41467-023-41819-0,,,,"0.619 [0.547,0.689]",,
PPM018682,PGS003851,PSS011063,PGP000492,Colorectal cancer,"Age, sex, PCs 1-10",,37783704,10.1038/s41467-023-41819-0,,,,"0.526 [0.419,0.62]",,
PPM018683,PGS003851,PSS011064,PGP000492,Colorectal cancer,"Age, sex, PCs 1-10",,37783704,10.1038/s41467-023-41819-0,,,,"0.584 [0.511,0.656]",,
PPM018684,PGS003851,PSS011065,PGP000492,Colorectal cancer,"Age, sex, PCs 1-10",,37783704,10.1038/s41467-023-41819-0,,,,"0.638 [0.624,0.652]",,
PPM018685,PGS003853,PSS011066,PGP000493,Estimated annual change of total cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018686,PGS003854,PSS011066,PGP000493,Estimated annual change of triglycerides,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018687,PGS003855,PSS011066,PGP000493,Estimated annual change of LDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018688,PGS003856,PSS011066,PGP000493,Estimated annual change of HDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018689,PGS003853,PSS011068,PGP000493,Estimated annual change of total cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018690,PGS003854,PSS011068,PGP000493,Estimated annual change of triglycerides,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018691,PGS003855,PSS011068,PGP000493,Estimated annual change of LDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018692,PGS003856,PSS011068,PGP000493,Estimated annual change of HDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018693,PGS003853,PSS011067,PGP000493,Estimated annual change of total cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018694,PGS003854,PSS011067,PGP000493,Estimated annual change of triglycerides,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018695,PGS003855,PSS011067,PGP000493,Estimated annual change of LDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018696,PGS003856,PSS011067,PGP000493,Estimated annual change of HDL cholesterol,,,36988954,10.1001/jamanetworkopen.2023.5565,,,,,,p-value (inferior to) = 0.001
PPM018697,PGS000873,PSS011069,PGP000494,Breast cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.6 [0.58,0.63]",,"Hazard ratio (HR, high vs low tertile) = 2.68 [1.97,3.66]"
PPM018698,PGS000055,PSS011070,PGP000494,Colorectal cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.65 [0.62,0.69]",,"Hazard ratio (HR, high vs low tertile) = 2.27 [1.6,3.21]"
PPM018699,PGS000734,PSS011071,PGP000494,Colorectal cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.66 [0.63,0.69]",,"Hazard ratio (HR, high vs low tertile) = 3.25 [2.24,4.73]"
PPM018700,PGS000070,PSS011073,PGP000494,Lung cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.68 [0.65,0.71]",,"Hazard ratio (HR, high vs low tertile) = 2.01 [1.44,2.81]"
PPM018701,PGS000721,PSS011072,PGP000494,Lung cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.69 [0.65,0.73]",,"Hazard ratio (HR, high vs low tertile) = 1.69 [1.03,2.79]"
PPM018702,PGS000662,PSS011074,PGP000494,Prostate cancer,age at recruitment,,36971353,10.7554/elife.82608,,,,"0.72 [0.7,0.75]",,"Hazard ratio (HR, high vs low tertile) = 8.99 [5.27,15.35]"
PPM018703,PGS000883,PSS011075,PGP000495,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2 or UACR >3.0 mg/mmol),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.37 [1.31,1.43]",,"0.69 [0.67,0.7]",,
PPM018704,PGS000883,PSS011075,PGP000495,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.75 [1.66,1.84]",,"0.73 [0.72,0.75]",,
PPM018705,PGS000883,PSS011075,PGP000495,Chronic kidney disease (eGFR <45 ml/min per 1.73 m2),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.7 [1.52,1.9]",,"0.79 [0.77,0.81]",,
PPM018706,PGS002237,PSS011075,PGP000495,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2 or UACR >3.0 mg/mmol),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.24 [1.19,1.3]",,"0.68 [0.67,0.69]",,
PPM018707,PGS002237,PSS011075,PGP000495,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.51 [1.43,1.59]",,"0.71 [0.7,0.73]",,
PPM018708,PGS002237,PSS011075,PGP000495,Chronic kidney disease (eGFR <45 ml/min per 1.73 m2),"age, sex, alcohol, smoking, hypertension, diabetes, body mass index, nonsteroidal anti-inflammatory drug and angiotensin-converting enzyme inhibitor/angiotensin receptor blocker use, and visit year",,37001602,10.1016/j.kint.2023.03.017,,"1.47 [1.32,1.65]",,"0.78 [0.75,0.8]",,
PPM018709,PGS003857,PSS011076,PGP000496,BMI unadjusted obstructive sleep apnea,"age, sex, genetic batch, PCs 1-10",,36989840,10.1016/j.ebiom.2023.104536,,,0.082 (0.016),"0.66 [0.64,0.67]",,
PPM018710,PGS003857,PSS011076,PGP000496,BMI adjusted obstructive sleep apnea,"BMI, age, sex, genetic batch, PCs 1-10",,36989840,10.1016/j.ebiom.2023.104536,,,0.014 (0.017),"0.77 [0.75,0.78]",,
PPM018711,PGS003858,PSS011076,PGP000496,BMI unadjusted obstructive sleep apnea,"age, sex, genetic batch, PCs 1-10",,36989840,10.1016/j.ebiom.2023.104536,,,0.048 (0.015),"0.62 [0.61,0.64]",,
PPM018712,PGS003858,PSS011076,PGP000496,BMI adjusted obstructive sleep apnea,"BMI, age, sex, genetic batch, PCs 1-10",,36989840,10.1016/j.ebiom.2023.104536,,,0.066 (0.017),"0.77 [0.76,0.79]",,
PPM018713,PGS003859,PSS011077,PGP000497,Insomnia symptoms (usually vs never/rarely/sometimes having trouble falling or staying asleep),,,37013595,10.1186/s12916-023-02832-8,,"1.08 [1.07,1.09]",,,,
PPM018714,PGS003860,PSS011080,PGP000498,Refractive error,,,37055258,10.1016/j.ebiom.2023.104551,,,,,,"R² = 0.19 [0.172,0.208]"
PPM018715,PGS003860,PSS011078,PGP000498,Refractive error,,,37055258,10.1016/j.ebiom.2023.104551,,,,,,"R² = 0.02 [0.012,0.029]"
PPM018716,PGS003860,PSS011083,PGP000498,Refractive error,,,37055258,10.1016/j.ebiom.2023.104551,,,,,,"R² = 0.08 [0.066,0.096]"
PPM018717,PGS003860,PSS011079,PGP000498,Refractive error,,,37055258,10.1016/j.ebiom.2023.104551,,,,,,"R² = 0.06 [0.034,0.092]"
PPM018718,PGS003860,PSS011080,PGP000498,Moderate hyperopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.742 [0.718,0.766]",,
PPM018719,PGS003860,PSS011078,PGP000498,Moderate hyperopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.61 [0.543,0.677]",,
PPM018720,PGS003860,PSS011083,PGP000498,Moderate hyperopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.676 [0.631,0.721]",,
PPM018721,PGS003860,PSS011079,PGP000498,Moderate hyperopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.61 [0.415,0.805]",,
PPM018722,PGS003860,PSS011080,PGP000498,Low myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.728 [0.715,0.741]",,
PPM018723,PGS003860,PSS011078,PGP000498,Low myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.582 [0.563,0.601]",,
PPM018724,PGS003860,PSS011083,PGP000498,Low myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.647 [0.631,0.664]",,
PPM018725,PGS003860,PSS011079,PGP000498,Low myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.653 [0.619,0.687]",,
PPM018726,PGS003860,PSS011080,PGP000498,Moderate myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.754 [0.738,0.77]",,
PPM018727,PGS003860,PSS011078,PGP000498,Moderate myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.596 [0.566,0.626]",,
PPM018728,PGS003860,PSS011083,PGP000498,Moderate myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.686 [0.664,0.708]",,
PPM018729,PGS003860,PSS011079,PGP000498,Moderate myopia,,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.66 [0.621,0.699]",,
PPM018730,PGS003860,PSS011080,PGP000498,High myopia (HM5),,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.774 [0.75,0.798]",,
PPM018731,PGS003860,PSS011078,PGP000498,High myopia (HM5),,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.586 [0.542,0.629]",,
PPM018732,PGS003860,PSS011083,PGP000498,High myopia (HM5),,,37055258,10.1016/j.ebiom.2023.104551,,,,"0.695 [0.664,0.726]",,
